Año,Ganador AO,Nacionalidad AO,Ganador RG,Nacionalidad RG,Ganador WB,Nacionalidad WB,Ganador USO,Nacionalidad USO
1926,John Hawkes (1/1),Australia,Henri Cochet (1/7),Francia,Jean Borotra (2/4),Francia,René Lacoste (3/7),Francia
1927,Gerald Patterson (3/3)†††,Australia,René Lacoste (4/7),Francia,Henri Cochet (2/7),Francia,René Lacoste (5/7),Francia
1928,Jean Borotra (3/4),Francia,Henri Cochet (3/7),Francia,René Lacoste (6/7),Francia,Henri Cochet (4/7),Francia
1929,John Gregory (1/1),Reino Unido,René Lacoste (7/7),Francia,Henri Cochet (5/7),Francia,Bill Tilden (9/10),Estados Unidos
1930,Edgar Moon (1/1),Australia,Henri Cochet (6/7),Francia,Bill Tilden (10/10),Estados Unidos,John Doeg (1/1),Estados Unidos
1931,Jack Crawford (1/6),Australia,Jean Borotra (4/4),Francia,Sidney Wood (1/1),Estados Unidos,Ellsworth Vines (1/3),Estados Unidos
1932,Jack Crawford (2/6),Australia,Henri Cochet (7/7),Francia,Ellsworth Vines (2/3),Estados Unidos,Ellsworth Vines (3/3),Estados Unidos
1933,Jack Crawford (3/6),Australia,Jack Crawford (4/6),Australia,Jack Crawford (5/6),Australia,Fred Perry (1/8),Reino Unido
1934,Fred Perry (2/8),Reino Unido,Gottfried von Cramm (1/2),Alemania,Fred Perry (3/8),Reino Unido,Fred Perry (4/8),Reino Unido
1935,Jack Crawford (6/6),Australia,Fred Perry (5/8),Reino Unido,Fred Perry (6/8),Reino Unido,Wilmer Allison (1/1),Estados Unidos
1936,Adrian Quist (1/3),Australia,Gottfried von Cramm (2/2),Alemania,Fred Perry (7/8),Reino Unido,Fred Perry (8/8),Reino Unido
1937,Vivian McGrath (1/1),Australia,Henner Henkel (1/1),Alemania,Don Budge (1/6),Estados Unidos,Don Budge (2/6),Estados Unidos
1938,Don Budge (3/6),Estados Unidos,Don Budge (4/6),Estados Unidos,Don Budge (5/6),Estados Unidos,Don Budge (6/6),Estados Unidos
1939,John Bromwich (1/2),Australia,Don McNeill (1/2),Estados Unidos,Bobby Riggs (1/3),Estados Unidos,Bobby Riggs (2/3),Estados Unidos
1940,Adrian Quist (2/3),Australia,Cancelado por 2 Guerra Mundial,Cancelado por 2 Guerra Mundial,Cancelado por 2 Guerra Mundial,Cancelado por 2 Guerra Mundial,Don McNeill (2/2),Estados Unidos
1941,Cancelado por 2 Guerra Mundial,Cancelado por 2 Guerra Mundial,Cancelado por 2 Guerra Mundial,Cancelado por 2 Guerra Mundial,Cancelado por 2 Guerra Mundial,Cancelado por 2 Guerra Mundial,Bobby Riggs (3/3),Estados Unidos
1942,Cancelado por 2 Guerra Mundial,Cancelado por 2 Guerra Mundial,Cancelado por 2 Guerra Mundial,Cancelado por 2 Guerra Mundial,Cancelado por 2 Guerra Mundial,Cancelado por 2 Guerra Mundial,Ted Schroeder (1/2),Estados Unidos
1943,Cancelado por 2 Guerra Mundial,Cancelado por 2 Guerra Mundial,Cancelado por 2 Guerra Mundial,Cancelado por 2 Guerra Mundial,Cancelado por 2 Guerra Mundial,Cancelado por 2 Guerra Mundial,Joseph Hunt (1/1),Estados Unidos
1944,Cancelado por 2 Guerra Mundial,Cancelado por 2 Guerra Mundial,Cancelado por 2 Guerra Mundial,Cancelado por 2 Guerra Mundial,Cancelado por 2 Guerra Mundial,Cancelado por 2 Guerra Mundial,Frank Parker (1/4),Estados Unidos
1945,Cancelado por 2 Guerra Mundial,Cancelado por 2 Guerra Mundial,Cancelado por 2 Guerra Mundial,Cancelado por 2 Guerra Mundial,Cancelado por 2 Guerra Mundial,Cancelado por 2 Guerra Mundial,Frank Parker (2/4),Estados Unidos
1946,John Bromwich (2/2),Australia,Marcel Bernard (1/1),Francia,Yvon Petra (1/1),Francia,Jack Kramer (1/3),Estados Unidos
1947,Dinny Pails (1/1),Australia,Jozsef Asboth (1/1),Hungría,Jack Kramer (2/3),Estados Unidos,Jack Kramer (3/3),Estados Unidos
1948,Adrian Quist (3/3),Australia,Frank Parker (3/4),Estados Unidos,Bob Falkenburg (1/1),Estados Unidos,Pancho Gonzales (1/2),Estados Unidos
1949,Frank Sedgman (1/5),Australia,Frank Parker (4/4),Estados Unidos,Ted Schroeder (2/2),Estados Unidos,Pancho Gonzales (2/2),Estados Unidos
1950,Frank Sedgman (2/5),Australia,Budge Patty (1/2),Estados Unidos,Budge Patty (2/2),Estados Unidos,Arthur Larsen (1/1),Estados Unidos
1951,Dick Savitt (1/2),Estados Unidos,Jaroslav Drobny (1/3),Egipto,Dick Savitt (2/2),Estados Unidos,Frank Sedgman (3/5),Australia
1952,Ken McGregor (1/1),Australia,Jaroslav Drobny (2/3),Egipto,Frank Sedgman (4/5),Australia,Frank Sedgman (5/5),Australia
1953,Ken Rosewall (1/8),Australia,Ken Rosewall (2/8),Australia,Vic Seixas (1/2),Estados Unidos,Tony Trabert (1/5),Estados Unidos
1954,Mervyn Rose (1/2),Australia,Tony Trabert (2/5),Estados Unidos,Jaroslav Drobný (3/3),Egipto,Vic Seixas (2/2),Estados Unidos
1955,Ken Rosewall (3/8),Australia,Tony Trabert (3/5),Estados Unidos,Tony Trabert (4/5),Estados Unidos,Tony Trabert (5/5),Estados Unidos
1956,Lew Hoad (1/4),Australia,Lew Hoad (2/4),Australia,Lew Hoad (3/4),Australia,Ken Rosewall (4/8),Australia
1957,Ashley Cooper (1/4),Australia,Sven Davidson (1/1),Suecia,Lew Hoad (4/4),Australia,Malcolm Anderson (1/1),Australia
1958,Ashley Cooper (2/4),Australia,Mervyn Rose (2/2),Australia,Ashley Cooper (3/4),Australia,Ashley Cooper (4/4),Australia
1959,Alex Olmedo (1/2),Estados Unidos,Nicola Pietrangeli (1/2),Italia,Alex Olmedo (2/2),Estados Unidos,Neale Fraser (1/3),Australia
